Time1,ECG,Time2,PPG
0.007,110,0.156,-477
0.014,101,0.161,-603
0.022,94,0.167,-644
0.03,87,0.173,-895
0.038,82,0.179,-832
0.045,39,0.184,-1001
0.053,2,0.19,-993
0.061,32,0.196,-1168
0.068,85,0.201,-1187
0.076,94,0.207,-1025
0.084,-2,0.213,-1071
0.091,-138,0.218,-1011
0.099,-152,0.224,-950
0.107,-76,0.23,-766
0.114,-36,0.235,-708
0.122,-18,0.241,-798
0.13,4,0.247,-576
0.138,9,0.252,-558
0.145,16,0.258,-357
0.153,39,0.264,-197
0.161,34,0.269,-167
0.168,0,0.275,34
0.176,-9,0.281,111
0.184,-6,0.286,96
0.191,-9,0.292,331
0.199,-2,0.298,405
0.207,25,0.304,623
0.214,29,0.309,603
0.222,-18,0.315,655
0.23,-50,0.321,669
0.238,-32,0.326,803
0.245,-16,0.332,890
0.253,-4,0.338,806
0.261,9,0.343,964
0.268,13,0.349,915
0.276,20,0.355,1085
0.284,9,0.36,1134
0.291,-27,0.366,1023
0.299,-46,0.372,1069
0.307,-16,0.377,1033
0.314,154,0.383,1177
0.322,502,0.389,1221
0.33,679,0.394,1152
0.338,214,0.4,1285
0.345,-580,0.406,1299
0.353,-720,0.411,1384
0.361,-290,0.417,1446
0.368,-170,0.423,1451
0.376,-297,0.43,1505
0.384,-255,0.435,1558
0.391,-193,0.441,1527
0.399,-269,0.447,1612
0.407,-322,0.452,1543
0.414,-264,0.458,1739
0.422,-218,0.464,1768
0.43,-198,0.47,1908
0.438,-147,0.475,1981
0.445,-117,0.481,1992
0.453,-96,0.487,2096
0.461,-52,0.492,2125
0.468,-16,0.498,2351
0.476,18,0.504,2325
0.484,62,0.509,2504
0.491,89,0.515,2460
0.499,115,0.521,2588
0.507,152,0.526,2609
0.515,175,0.532,2787
0.522,188,0.538,2928
0.53,200,0.543,3008
0.538,177,0.549,3126
0.545,152,0.555,3144
0.553,147,0.56,3223
0.561,105,0.566,3362
0.569,73,0.572,3413
0.576,76,0.577,3425
0.584,62,0.583,3578
0.592,59,0.589,3654
0.599,80,0.595,3632
0.607,82,0.6,3721
0.615,82,0.606,3717
0.622,18,0.612,3702
0.63,-112,0.617,3637
0.638,-133,0.623,3527
0.645,-57,0.629,3484
0.653,-39,0.634,3323
0.661,-34,0.64,3127
0.669,0,0.646,2923
0.676,18,0.651,2619
0.684,41,0.657,2375
0.692,78,0.663,2038
0.699,92,0.668,1928
0.707,85,0.674,1539
0.715,66,0.681,1352
0.722,36,0.687,1061
0.73,46,0.692,766
0.738,50,0.698,586
0.745,32,0.704,334
0.753,32,0.709,40
0.761,2,0.715,-116
0.769,-32,0.721,-298
0.776,-13,0.726,-328
0.784,-39,0.732,-521
0.792,-92,0.738,-589
0.799,-85,0.743,-722
0.807,-73,0.749,-604
0.815,-76,0.755,-826
0.822,-96,0.76,-779
0.83,-165,0.766,-759
0.838,-198,0.772,-755
0.845,-168,0.777,-726
0.853,-163,0.783,-723
0.861,-122,0.789,-634
0.869,140,0.795,-636
0.876,566,0.8,-529
0.884,681,0.806,-418
0.892,73,0.812,-410
0.899,-667,0.817,-233
0.907,-589,0.823,-42
0.915,-161,0.829,39
0.922,-158,0.834,141
0.93,-257,0.84,194
0.938,-237,0.846,327
0.945,-287,0.851,442
0.953,-294,0.857,600
0.961,-207,0.863,582
0.969,-168,0.868,684
0.976,-170,0.874,701
0.984,-152,0.88,703
0.992,-117,0.885,607
0.999,-73,0.891,825
1.007,-20,0.897,716
1.015,18,0.902,798
1.022,11,0.908,979
1.03,-9,0.914,788
1.038,11,0.92,924
1.045,69,0.927,691
1.053,124,0.932,829
1.061,147,0.938,748
1.069,154,0.944,806
1.076,154,0.949,976
1.084,165,0.955,857
1.092,188,0.961,1046
1.099,195,0.966,919
1.107,184,0.972,991
1.115,99,0.978,1017
1.123,-82,0.983,1068
1.13,-177,0.989,1192
1.138,-122,0.995,1137
1.146,-85,1,1125
1.153,-89,1.006,1204
1.161,-92,1.012,1282
1.169,-87,1.017,1225
1.176,-48,1.023,1339
1.184,4,1.029,1524
1.192,48,1.034,1545
1.199,71,1.04,1547
1.207,71,1.046,1603
1.215,76,1.052,1765
1.223,110,1.057,1864
1.23,154,1.063,1902
1.238,186,1.069,2025
1.246,200,1.074,2171
1.253,191,1.08,2157
1.261,172,1.086,2270
1.269,149,1.091,2554
1.276,85,1.097,2577
1.284,20,1.103,2609
1.292,13,1.108,2710
1.299,-34,1.114,2812
1.307,-94,1.12,2911
1.315,-48,1.125,3044
1.323,-16,1.131,3095
1.33,-117,1.137,3277
1.338,-228,1.142,3405
1.346,-241,1.148,3356
1.353,-221,1.154,3506
1.361,-195,1.159,3452
1.369,-145,1.165,3542
1.376,-94,1.171,3435
1.384,-82,1.177,3502
1.392,-92,1.182,3230
1.399,-89,1.189,3265
1.407,-41,1.195,3088
1.415,163,1.201,2984
1.423,575,1.206,2739
1.43,829,1.212,2414
1.438,338,1.218,2123
1.446,-488,1.223,1979
1.453,-543,1.229,1774
1.461,-99,1.235,1457
1.469,-64,1.24,1244
1.476,-228,1.246,966
1.484,-241,1.252,633
1.492,-218,1.257,580
1.499,-198,1.263,318
1.507,-154,1.269,129
1.515,-135,1.274,102
1.523,-195,1.28,-3
1.53,-239,1.286,-229
1.538,-188,1.291,-289
1.546,-122,1.297,-386
1.553,-80,1.303,-437
1.561,-39,1.308,-376
1.569,-16,1.314,-329
1.576,-13,1.32,-337
1.584,18,1.326,-387
1.592,82,1.331,-276
1.599,128,1.337,-295
1.607,152,1.343,-297
1.615,163,1.348,-142
1.623,140,1.354,-52
1.63,140,1.36,171
1.638,179,1.365,221
1.646,207,1.371,305
1.654,186,1.377,394
1.661,78,1.382,470
1.669,-27,1.388,650
1.677,-23,1.394,744
1.684,13,1.399,892
1.692,18,1.405,930
1.7,-2,1.411,1008
1.707,-71,1.416,968
1.715,-115,1.422,979
1.723,-73,1.428,1134
1.73,-11,1.433,1135
1.738,20,1.439,1199
1.746,36,1.445,1263
1.754,41,1.452,1259
1.761,18,1.458,1284
1.769,-11,1.463,1274
1.777,-2,1.469,1376
1.784,36,1.475,1395
1.792,57,1.48,1420
1.8,43,1.486,1373
1.807,32,1.492,1240
1.815,62,1.497,1360
1.823,96,1.503,1231
1.83,76,1.509,1421
1.838,-23,1.514,1264
1.846,-101,1.52,1300
1.854,-80,1.526,1433
1.861,-34,1.532,1420
1.869,-13,1.537,1436
1.877,-13,1.543,1511
1.884,-80,1.549,1557
1.892,-170,1.554,1530
1.9,-172,1.56,1551
1.907,-119,1.566,1516
1.915,-82,1.571,1532
1.923,-59,1.577,1551
1.93,-46,1.583,1569
1.938,-66,1.588,1695
1.946,-55,1.594,1692
1.954,175,1.6,1784
1.961,619,1.605,1789
1.969,822,1.611,1948
1.977,264,1.617,1874
1.984,-488,1.622,1928
1.992,-396,1.628,2143
2,57,1.634,2059
2.007,18,1.639,2158
2.015,-184,1.645,2239
2.023,-239,1.651,2261
2.03,-283,1.657,2422
2.038,-304,1.662,2495
2.046,-255,1.668,2564
2.054,-202,1.674,2624
2.061,-193,1.679,2644
2.069,-184,1.685,2712
2.077,-149,1.691,2792
2.084,-122,1.696,2814
2.092,-92,1.702,2870
2.1,-46,1.708,2825
2.107,-13,1.713,2886
2.115,6,1.719,2875
2.123,32,1.725,2861
2.13,59,1.73,2619
2.138,94,1.736,2534
2.146,131,1.743,2475
2.154,145,1.749,2203
2.161,126,1.754,2008
2.169,133,1.76,1836
2.177,158,1.766,1448
2.185,156,1.771,1331
2.192,140,1.777,1097
2.2,64,1.783,729
2.208,-32,1.788,452
2.215,-46,1.794,233
2.223,-39,1.8,69
2.231,-39,1.805,-74
2.238,-43,1.811,-358
2.246,-101,1.817,-608
2.254,-161,1.822,-643
2.261,-179,1.828,-871
2.269,-184,1.834,-912
2.277,-154,1.84,-783
2.285,-112,1.845,-1041
2.292,-92,1.851,-1070
2.3,-66,1.857,-1035
2.308,-25,1.862,-979
2.315,0,1.868,-929
2.323,13,1.874,-956
2.331,29,1.879,-839
2.338,-25,1.885,-919
2.346,-96,1.891,-776
2.354,-66,1.896,-740
2.361,-11,1.902,-562
2.369,13,1.908,-410
2.377,46,1.913,-419
2.385,69,1.919,-64
2.392,108,1.925,-129
2.4,128,1.93,60
2.408,82,1.936,162
2.415,32,1.942,318
2.423,-27,1.947,391
2.431,-99,1.953,414
2.438,-94,1.959,524
2.446,-48,1.965,530
2.454,-36,1.97,816
2.461,-41,1.976,842
2.469,-36,1.983,770
2.477,34,1.988,894
2.485,331,1.994,951
2.492,789,2,1045
2.5,796,2.006,1140
2.508,-29,2.011,1151
2.515,-702,2.017,1126
2.523,-380,2.023,1273
2.531,50,2.028,1162
2.538,-6,2.034,1248
2.546,-36,2.04,1265
2.554,48,2.045,1295
2.561,-20,2.051,1202
2.569,-99,2.057,1310
2.577,-69,2.062,1320
2.585,-66,2.068,1405
2.592,-110,2.074,1368
2.6,-131,2.079,1358
2.608,-131,2.085,1386
2.615,-108,2.091,1459
2.623,-64,2.096,1631
2.631,-29,2.102,1571
2.638,-16,2.108,1608
2.646,-4,2.113,1679
2.654,16,2.119,1858
2.661,46,2.125,1848
2.669,87,2.131,1836
2.677,119,2.136,1776
2.685,117,2.142,1942
2.692,105,2.148,2035
2.7,103,2.153,2101
2.708,119,2.159,2126
2.715,142,2.165,2130
2.723,126,2.17,2332
2.731,76,2.176,2386
2.738,-16,2.182,2446
2.746,-140,2.187,2532
2.754,-200,2.193,2492
2.762,-193,2.199,2644
2.769,-175,2.204,2594
2.777,-186,2.21,2837
2.785,-244,2.216,2905
2.792,-267,2.221,2979
2.8,-209,2.227,3044
2.808,-145,2.234,2945
2.815,-115,2.24,3023
2.823,-103,2.245,3061
2.831,-103,2.251,3161
2.839,-154,2.257,3071
2.846,-225,2.262,3087
2.854,-204,2.268,3027
2.862,-147,2.274,2857
2.869,-184,2.279,2649
2.877,-271,2.285,2585
2.885,-274,2.291,2321
2.892,-181,2.296,2161
2.9,-115,2.302,1988
2.908,-87,2.308,1746
2.915,-59,2.313,1269
2.923,-50,2.319,1027
2.931,-29,2.325,814
2.939,11,2.331,708
2.946,34,2.336,484
2.954,50,2.342,148
2.962,48,2.348,-217
2.969,11,2.353,-315
2.977,-2,2.359,-487
2.985,16,2.365,-564
2.992,0,2.37,-591
3,-25,2.376,-792
3.008,175,2.382,-878
3.015,626,2.387,-890
3.023,755,2.393,-880
3.031,82,2.399,-883
3.039,-575,2.404,-912
3.046,-343,2.41,-903
3.054,2,2.416,-912
3.062,-119,2.421,-732
3.069,-135,2.427,-767
3.077,13,2.433,-657
3.085,27,2.438,-604
3.092,18,2.444,-597
3.1,50,2.45,-450
3.108,57,2.456,-277
3.115,89,2.461,-233
3.123,145,2.468,-70
3.131,168,2.474,78
3.139,138,2.48,87
3.146,85,2.485,299
3.154,59,2.491,424
3.162,57,2.497,458
3.169,78,2.502,617
3.177,112,2.508,582
3.185,119,2.514,608
3.192,103,2.519,761
3.2,112,2.525,786
3.208,149,2.531,744
3.215,181,2.536,766
3.223,188,2.542,761
3.231,172,2.548,924
3.239,122,2.554,926
3.246,43,2.559,969
3.254,6,2.565,1026
3.262,11,2.571,1035
3.269,0,2.576,1030
3.277,-66,2.582,1053
3.285,-161,2.588,1022
3.292,-163,2.593,1008
3.3,-101,2.599,1127
3.308,-71,2.605,1134
3.316,-46,2.61,1144
3.323,-39,2.616,1163
3.331,-69,2.622,1128
3.339,-108,2.627,1188
3.346,-163,2.633,1149
3.354,-172,2.639,1291
3.362,-135,2.644,1213
3.37,-177,2.65,1411
3.377,-248,2.656,1514
3.385,-209,2.661,1543
3.393,-128,2.667,1482
3.4,-108,2.673,1680
3.408,-124,2.679,1703
3.416,-165,2.684,1604
3.423,-204,2.69,1701
3.431,-154,2.696,1870
3.439,-66,2.701,1935
3.446,-34,2.707,1822
3.454,-20,2.713,1870
3.462,-25,2.718,1915
3.47,-43,2.724,1935
3.477,-13,2.73,2106
3.485,13,2.735,2116
3.493,-11,2.741,2178
3.5,-29,2.747,2180
3.508,-27,2.752,2258
3.516,-41,2.758,2318
3.523,-13,2.765,2269
3.531,248,2.771,2336
3.539,688,2.776,2202
3.546,755,2.782,2252
3.554,62,2.788,2297
3.562,-557,2.793,2107
3.57,-283,2.799,2165
3.577,112,2.805,2016
3.585,25,2.81,1868
3.593,-80,2.816,1618
3.6,-76,2.822,1428
3.608,-101,2.828,1140
3.616,-71,2.833,825
3.623,0,2.839,613
3.631,34,2.845,331
3.639,50,2.85,72
3.646,57,2.856,-191
3.654,78,2.862,-279
3.662,115,2.867,-591
3.67,163,2.873,-843
3.677,204,2.879,-1000
3.685,202,2.884,-1318
3.693,165,2.89,-1329
3.7,142,2.896,-1586
3.708,140,2.901,-1687
3.716,128,2.907,-1778
3.723,124,2.913,-1838
3.731,124,2.918,-1896
3.739,80,2.924,-2031
3.746,25,2.93,-2138
3.754,34,2.935,-2063
3.762,41,2.941,-1976
3.77,-34,2.947,-1927
3.777,-133,2.953,-1863
